start_date,end_date,country,iso3,notes
2022-07-15,2022-07-19,Indonesia,IDN,Visa on Arrival + Entry Bali
2022-07-19,2022-12-09,Singapore,SGP,
2022-12-09,2023-01-12,India,IND,Arrival Home
2023-01-12,2023-02-25,Singapore,SGP,
2023-02-25,2023-03-08,Japan,JPN,Travel Entry Narita Exit
2023-03-08,2023-05-09,Singapore,SGP,
2023-05-09,2023-05-13,Indonesia,IDN,e-VOA Entry
2023-05-13,2023-05-21,Thailand,THA,Travel Entry Exit
2023-05-21,2023-05-26,Singapore,SGP,Return from Thailand
2023-05-26,2023-07-22,India,IND,Arrival Home
2023-07-22,2023-07-30,Singapore,SGP,Convocation
2023-07-30,2023-08-21,India,IND,
2023-08-21,2023-10-19,Netherlands,NLD,Schengen Entry
2023-10-19,2023-10-21,United Kingdom,GBR,
2023-10-21,2023-12-18,Netherlands,NLD,Schiphol Entry
2023-12-18,2024-01-01,India,IND,Return Home
2024-01-01,2024-02-16,Netherlands,NLD,
2024-02-16,2024-02-18,United Kingdom,GBR,Entry Gatwick
2024-02-18,2024-02-22,Netherlands,NLD,
2024-02-22,2024-02-25,France,FRA,
2024-02-25,2024-05-20,Netherlands,NLD,
2024-05-20,2024-05-24,Italy,ITA,
2024-05-24,2024-06-01,Netherlands,NLD,
2024-06-01,2024-06-08,Denmark,DNK,
2024-06-08,2024-06-25,Netherlands,NLD,
2024-06-25,2024-07-10,India,IND,
2024-07-10,2024-07-21,Turkey,TUR,
2024-07-21,2024-08-01,Netherlands,NLD,
2024-08-01,2024-08-05,Switzerland,CHE,
2024-08-05,2024-08-20,Netherlands,NLD,
2024-08-20,2024-10-08,India,IND,Arrival Home
2024-10-08,2024-10-18,Singapore,SGP,
2024-10-18,2025-02-25,India,IND,Arrival Home Continued
2025-02-25,2025-02-27,Singapore,SGP,Departure India
2025-02-27,2025-03-01,Indonesia,IDN,Visa Validity + Entry
2025-03-01,2025-04-16,Singapore,SGP,
2025-04-16,2025-04-17,India,IND,Arrival Home
2025-04-17,2025-06-01,Singapore,SGP,
2025-06-01,2025-06-10,Australia,AUS,
2025-06-10,2025-07-24,Singapore,SGP,
2025-07-24,2025-07-29,India,IND,
2025-07-29,2025-07-30,United Kingdom,GBR,
2025-07-30,2025-11-22,United States,USA,
2025-11-22,2025-11-30,Spain,ESP,
2025-11-30,2026-01-18,India,IND,
2026-01-18,,United States,USA,Current Stay
